,Unnamed: 0,dt_controls,performance
129,399,8.4,1050.1377321303737
131,287,8.5,1143.6539862425893
132,187,8.6,1076.3959495887336
133,181,8.6,1206.7361991244584
134,395,8.6,1061.9473303595423
135,359,8.8,1088.7873455739102
136,312,8.8,1011.2047372606327
138,392,9.1,1182.719449005678
139,61,9.1,1121.0593636182014
140,80,9.1,1173.9712208787723
141,343,9.1,1221.0381314943565
143,60,9.3,1095.9319799707407
144,135,9.3,1115.1065981804581
145,255,9.3,1093.2194404266947
146,365,9.5,1118.500611398082
147,65,9.5,1204.0351852827832
148,143,9.6,1198.707545666917
149,128,9.6,1157.0757198344345
150,173,9.7,1065.346912007723
152,291,9.7,1173.6770855675459
154,397,9.8,1157.297623995058
155,295,9.8,1202.5858883072935
156,232,10.1,1065.5216465262365
157,85,10.2,1040.766723168818
158,54,10.2,1159.7957032887691
159,247,10.2,1247.0713776935374
160,95,10.3,1100.02681765982
161,308,10.3,1241.6094658750135
162,383,10.4,1198.0810099204698
163,13,10.4,1206.9966549467454
164,75,10.4,1147.9684033719245
165,169,10.5,1208.7461041129075
166,200,10.6,1164.655082519678
167,121,10.7,1216.2456289512131
168,122,10.7,1228.950700885359
169,49,10.8,1248.7996400044535
170,309,10.9,1146.9595190760726
173,303,11.0,1160.8402791172466
174,393,11.0,1267.2621868403266
175,71,11.0,1200.9994527605609
176,130,11.1,1193.225690230045
178,301,11.4,1087.1312643861909
179,36,11.5,1288.0344985662566
180,104,11.6,1323.5302663525615
182,111,11.7,1207.9928138824068
183,226,11.7,1035.6070777186535
184,35,11.7,1147.051310989286
185,89,11.8,1229.3098909538255
186,67,11.9,1164.06470405627
187,352,11.9,1169.6364418903845
188,23,11.9,1238.4914444444375
189,290,12.0,1153.3254716664906
190,159,12.0,1148.663068985617
192,354,12.2,1324.1957711168204
193,22,12.2,1276.736113356485
194,115,12.3,1151.9701071174036
195,92,12.3,1371.8254336317025
196,357,12.4,1213.43731019377
198,183,12.5,1154.0624093662705
199,358,12.5,1223.3796647028048
200,107,12.7,1206.761283264978
201,384,12.8,1270.636163295665
203,363,12.8,1164.1705755590672
204,346,12.9,1181.5383737633688
205,70,12.9,1228.5388309281975
208,304,13.1,1216.096404051703
209,93,13.1,1233.5755569473458
210,249,13.1,1273.0365859162116
211,105,13.2,1182.2525836590712
212,385,13.2,1074.5702683991262
213,211,13.2,1216.2289798004194
215,375,13.4,1117.661362626279
216,42,13.4,1227.2606506437126
217,252,13.4,1106.5897569419742
218,126,13.5,1231.752023765085
220,47,13.6,1145.7053920901112
221,76,13.6,1133.0368278182289
222,40,13.7,1100.7627048959494
223,362,13.7,1294.061736624089
224,3,13.8,1147.4750678712085
225,44,13.8,1087.8278383008605
227,179,14.0,1141.196039049959
228,337,14.0,1250.4855678178312
229,43,14.2,1159.3269293419735
232,192,14.5,1332.3743643202215
233,87,14.6,1181.214630590448
234,156,14.6,1179.7022018673892
235,145,14.6,1241.2196978163804
236,98,14.7,1354.9027883088595
237,262,14.9,1530.9508589536358
238,278,14.9,1178.7077358891172
239,134,14.9,1178.762869705405
240,101,15.0,1286.7124354383282
241,328,15.0,1174.1776533593666
242,167,15.1,1228.287888887168
243,222,15.1,1318.9511852818641
244,378,15.2,1226.0752630373254
245,306,15.4,1243.1572142581351
246,158,15.5,1222.46754122651
247,208,15.5,1295.9433730414405
249,333,15.6,1411.5344499219227
250,373,15.7,1326.623473120509
251,153,15.7,1394.1099265743248
252,234,15.8,1397.1463655102798
254,277,16.0,1273.441160779746
255,176,16.0,1352.8258584788275
256,142,16.0,1231.6194967470406
260,332,16.3,1408.3802454662152
262,320,16.3,1351.0522057538624
265,90,16.4,1223.9930809959496
267,108,16.5,1216.7493399007774
268,319,16.5,1441.8406288788387
269,141,16.5,1177.179876732498
270,228,16.5,1239.6115803318996
271,264,16.5,1204.9898856986783
273,9,16.6,1401.9243356512534
274,380,16.6,1324.1526023961258
275,195,16.6,1306.7433930659085
276,202,16.7,1244.7691956428607
277,325,16.7,1286.7124261668282
278,83,16.7,1301.1715881819027
279,164,16.8,1393.0379082387815
280,41,16.8,1422.0423828612911
281,310,16.9,1440.7593105303415
282,369,17.0,1313.6219184136196
283,24,17.0,1323.7842579957726
284,147,17.2,1280.519394737888
286,329,17.2,1276.4969140531916
287,205,17.2,1324.2835644715828
288,269,17.3,1224.1258985921534
291,198,17.5,1359.8186889414333
292,216,17.5,1322.015436482126
293,26,17.5,1362.247991063824
294,82,17.5,1287.5401579794375
297,185,17.6,1300.2879583934994
298,235,17.7,1309.6014713819766
299,51,17.7,1434.6770473947274
300,245,17.7,1341.6884646068586
301,276,17.9,1233.4043278738675
302,124,18.0,1224.0967931188072
303,123,18.1,1368.3191890323933
304,46,18.1,1267.3648083334742
307,374,18.2,1266.4870350382562
308,29,18.3,1547.9051080152485
309,221,18.3,1547.7038291152778
310,345,18.3,1265.7366607788667
311,99,18.4,1321.5446679346167
312,366,18.5,1253.1885828917866
313,8,18.5,1205.3579139357514
314,178,18.5,1418.994635795798
317,379,18.9,1332.0878266282252
318,275,18.9,1382.17699180728
319,102,18.9,1326.560796116825
320,190,18.9,1387.8777653767045
321,253,19.0,1324.3787626208893
324,148,19.1,1309.9501725828948
327,165,19.5,1293.7973782757272
329,331,19.5,1292.5991201596694
330,146,19.6,1296.651280516729
332,364,19.6,1299.6265476897886
333,155,19.6,1298.7364611202925
334,351,19.8,1289.5708119600267
335,376,19.8,1266.9637240524685
336,77,20.0,1438.3823817192904
337,260,20.1,1452.4672474562908
338,162,20.2,1422.3375549578086
339,341,20.2,1386.6389777136317
341,188,20.4,1399.84339953087
343,387,20.4,1391.1979774752685
344,311,20.5,1420.498187489895
345,30,20.6,1555.263695555123
346,172,20.6,1378.9884015034772
347,78,20.6,1415.375553190483
348,69,20.7,1404.1162582648997
349,201,20.7,1466.4212405846372
350,174,20.7,1369.1544460586815
351,58,20.8,1294.3259714445821
352,37,20.8,1419.5710458300698
353,136,21.0,1395.4950984013117
354,150,21.1,1363.8511105164332
355,214,21.1,1334.8738155984433
356,326,21.2,1375.133586657858
357,39,21.3,1249.7912082957828
359,125,21.4,1504.0919875528346
360,361,21.4,1298.7176129971494
361,288,21.4,1296.0533958921264
362,398,21.4,1503.0650124290905
363,91,21.4,1354.6009614350105
364,113,21.5,1282.6496413517466
365,367,21.5,1505.1152931470554
366,356,21.5,1276.5801192955391
368,283,21.6,1517.8934212832778
369,97,21.8,1305.8949415537472
370,317,21.9,1357.2009657838037
371,194,21.9,1471.3752290688474
372,110,21.9,1388.1042258573882
373,273,22.0,1355.1768924424555
374,330,22.1,1296.9132116502476
376,14,22.2,1295.288220987223
377,15,22.4,1258.3432963367345
378,281,22.5,1373.0683077856108
379,316,22.6,1537.4618069748738
380,223,22.6,1371.3189046847908
381,257,22.7,1201.1480015798586
382,114,22.8,1411.487036760236
384,220,23.0,1350.704300496255
385,394,23.2,1585.6790108510293
386,213,23.3,1364.5955677279715
387,293,23.3,1405.6921836055387
388,327,23.3,1380.9544439834694
389,57,23.4,1327.9320210801127
391,20,23.4,1344.762878501348
392,266,23.4,1547.0811675240614
393,318,23.5,1683.0971188646408
394,371,23.5,1445.4990682650007
395,377,23.5,1374.529698198691
397,171,23.6,1466.9240748649065
398,336,23.7,1418.7276489610363
399,244,23.7,1570.0472768031484
400,132,23.8,1372.2928068364654
401,203,23.8,1486.9696869833042
403,250,23.9,1419.4261260742405
404,48,23.9,1347.9303242590345
405,204,23.9,1480.4089011674914
407,59,24.0,1539.0218176971125
408,112,24.1,1334.0721940777908
410,340,24.1,1619.9040341071182
411,300,24.2,1431.9574310198711
412,261,24.2,1380.2951704352472
413,388,24.3,1464.1658046282666
415,193,24.5,1521.556709955495
417,6,24.6,1408.6844439850693
418,168,24.6,1423.1447720751812
419,53,24.6,1504.3448726943616
421,33,24.7,1487.844609320067
422,161,24.7,1257.7294370928732
424,74,24.8,1437.1332690596191
425,323,25.0,1655.1850574884936
426,307,25.1,1390.0198145885786
429,17,25.2,1458.944544594879
430,229,25.3,1544.5152892397234
431,1,25.4,1477.3416141640198
432,230,25.4,1560.0494507214444
437,314,25.8,1709.93441480816
438,212,26.0,1403.4135703332574
439,396,26.1,1436.0507039480801
440,239,26.2,1518.7945114637405
441,32,26.2,1430.3593695992358
444,353,26.3,1609.9461339526213
445,270,26.4,1636.299321202152
447,186,26.5,1464.324604184042
448,263,26.5,1568.1568386582544
449,251,26.7,1595.534895342015
452,96,27.1,1486.5586351419824
453,315,27.1,1498.2622230490506
454,139,27.2,1365.6341773737206
456,236,27.5,1377.6635020793922
457,127,27.7,1500.9439211850868
460,298,27.9,1760.9799665746784
461,224,27.9,1317.5424502094804
462,129,28.0,1416.5314341910641
463,305,28.0,1582.6410947104432
464,289,28.1,1643.2902832854313
466,259,28.1,1550.7340588449094
467,28,28.2,1797.7001917812695
469,109,28.3,1348.7470664526593
470,218,28.6,1481.8764665824515
471,296,28.6,1539.9680094046744
472,157,28.7,1416.214729765814
473,324,28.8,1453.7254940151975
474,248,28.9,1556.5562251990493
476,265,29.0,1533.6807926131867
477,21,29.0,1685.5853212124537
479,84,29.1,1437.1797009429017
480,196,29.2,1659.2263624206619
481,73,29.4,1481.3713864801107
482,182,29.4,1424.171420745386
483,66,29.4,1471.6668821766268
484,372,29.4,1420.2700433821444
485,256,29.5,1596.278431907756
486,119,29.6,1715.2945928044664
487,210,29.6,1393.5184382501666
488,56,29.7,1715.8717540363807
489,12,29.7,1506.13549344166
490,382,29.8,1477.7851030374375
493,2,29.8,1469.6383590942455
494,227,29.8,1527.1561762580848
495,5,29.9,1778.8545328605758
497,166,30.0,1576.2045884512127
498,297,30.0,1553.0755775131372
499,246,30.0,1463.0538463144642
